id1,nachname,vorname,titel,fach,stoffklasse,jahr,historische_einleitung_vorhanden,fokus_historischer_teil,anteil_historisch,vorkommende_epochen,wichtige_historische_personen_im_text,quellentypen,historie_stellenwert_skala
1889-DISS-LF,Lüdtke,Franz,Beiträge zur Kenntniss der Aleuronkörner,Pharmakognosie,Botanische Pflanzenteile,1889,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.1044776119402985,Mitte 19. Jahrhundert,Theodor Hartig,"Fachzeitschriften,Sitzungsberichte,Jahrbücher,Lehrbücher",1
1890-DISS-NH,Nadelmann,Hugo,Ueber die Schleimendosperme der Leguminosen.,Pharmakognosie,Systematische Gruppen,1890,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.14457831325301204,Mitte 19. Jahrhundert,"Matthias Jacob Schleiden,Julius Rudolph Theodor Vogel","Jahrbücher,Wissenschaftliche Berichte,Lehrbücher",1
1891-DISS-BH,Bliesenick,Hermann,Über die Obliteration der Siebröhren ...,Pharmakognosie,Sonstige,1891,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.06349206349206349,Mitte 19. Jahrhundert,Theodor Hartig,"Jahresberichte,Fachzeitschriften,Sitzungsberichte,Lehrbücher,Jahrbücher,Wissenschaftliche Berichte",1
1891-DISS-CA,Conrady,Adolf,Ueber das Galbanumharz,Pharmakognosie,Gummiharze,1891,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.09375,"Altertum,Frühe Neuzeit","Pedanios Dioskurides,Caspar Neumann","Historische Sekundärquellen,Jahresberichte,Fachzeitschriften",1
1891-DISS-LP,Liechti,Paul,Studien über die Fruchtschalen der Garcinia Mangostana.,Pharmakognosie,Alkaloide und Glykoside,1891,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.0625,Mitte 19. Jahrhundert,"Justus von Liebig,Henri Braconnot,Jöns Jakob Berzelius","Jahrbücher,Lehrbücher",2
1892-DISS-HC,Hartwich,Carl,Beiträge zur Kenntnis der Strophanthus- und einiger mit denselben verwandter Samen,Pharmakognosie,Alkaloide und Glykoside,1892,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.06060606060606061,Mitte 19. Jahrhundert,Augustin Pyrame de Candolle,"Fachzeitschriften,Reiseberichte,Jahresberichte",2
1893-DISS-BA,Bécheraz,Achille,Ueber die Sekretbildung in den schizogenen Gängen.,Pharmakognosie,Sonstige,1893,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.15789473684210525,Mitte 19. Jahrhundert,"Franz Julius Ferdinand Meyen,Anton de Bary","Fachbeiträge,Jahrbücher,Fachzeitschriften",1
1893-DISS-LF,Lüdy,Fritz,Studien über die Sumatra-Benzoë,Pharmakognosie,Harze,1893,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.10526315789473684,Gesamtes 19. Jahrhundert,Jöns Jakob Berzelius,"Fachzeitschriften,Jahrbücher,Lehrbücher,Wissenschaftliche Berichte,Kommentar Pharmaokopöe,Handwörterbuch",2
1893-DISS-OO,Oesterle,Otto,"Pharmakognostische Studien über Gutta-Percha",Pharmakognosie,Gummi,1893,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.1,Mitte 19. Jahrhundert,"Michael Faraday,A.W. Hofmann","Lehrbücher,Jahresberichte,Fachzeitschriften",2
1893-DISS-TH,Trog,Hans,Pharmakognostische Studien über den Perubalsam und seine Entstehung,Pharmakognosie,Balsame,1893,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.06451612903225806,Mitte 19. Jahrhundert,"Jonathan Pereira,Henri Ernest Baillon,Carl von Linné,Edmond Frémy,Émile Plantamour","Fachzeitschriften,Jahresberichte",1
1894-DISS-BA,Baur,Alfred,Über das Burseraceen - Opoponax,Pharmakognosie,Gummiharze,1894,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.08333333333333333,"Altertum,Mitte 19. Jahrhundert","Pedanios Dioskurides,Theophrastos von Eresos","Fachzeitschriften,Dissertationen,Jahrbücher",2
1894-DISS-EM,Elfstrand,Mårten,Studier öfver Alkaloidernas Lokalisation Företrädesvis inom Familjen Loganiaceae,Pharmakognosie,Systematische Gruppen,1894,true,"Naturwissenschafts-/Disziplingeschichte,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte",0.015873015873015872,Gesamtes 19. Jahrhundert,Simon Schwendener,"Wissenschaftliche Berichte,Fachzeitschriften,Dissertationen,Sitzungsberichte,Jahresberichte",1
1894-DISS-KM,Küstenmacher,Max,Beiträge zur Kenntniss der Gallenbildungen mit Berücksichtigung des Gerbstoffes.,Pharmakognosie,Sonstige,1894,true,"Allgemeine Pharmaziegeschichte,Naturwissenschafts-/Disziplingeschichte",0.009900990099009901,Altertum,Gaius Plinius Secundus Maior,Historische Wissensliteratur,1
1894-DISS-OP,Oberländer,Paul,Ueber den Tolubalsam und seine Entstehung.,Pharmakognosie,Balsame,1894,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.11904761904761904,Mittelalter,Nicolás Monardes,"Jahresberichte,Lehrbücher,Fachzeitschriften,Historische Wissensliteratur",1
1895-DISS-AE,Aweng,Eugen,"Über den Succinit",Pharmakognosie,Harze,1895,true,Pharmazeutische Chemie-/Technologiegeschichte,0.0967741935483871,Mitte 19. Jahrhundert,"Matthias Jacob Schleiden,Pierre-Joseph Pelletier,Jöns Jakob Berzelius","Monographien,Handbuch,Jahresberichte,Fachzeitschriften",1
