id1,nachname,vorname,jahr,titel,stoffklasse,cluster,historie_stellenwert_skala,anteil_hist_clean,n_pre19,n_hist_quellen,n_personen
1889-DISS-LF,Lüdtke,Franz,1889,Beiträge zur Kenntniss der Aleuronkörner,Botanische Pflanzenteile,A,1,0.10,0,0,1
1890-DISS-NH,Nadelmann,Hugo,1890,Ueber die Schleimendosperme der Leguminosen.,Systematische Gruppen,A,1,0.14,0,0,2
1891-DISS-CA,Conrady,Adolf,1891,Ueber das Galbanumharz,Gummiharze,A,1,0.09,2,1,2
1893-DISS-TH,Trog,Hans,1893,Pharmakognostische Studien über den Perubalsam und seine Entstehung,Balsame,A,1,0.06,0,0,5
1894-DISS-EM,Elfstrand,Mårten,1894,Studier öfver Alkaloidernas Lokalisation Företrädesvis inom Familjen Loganiaceae,Systematische Gruppen,A,1,0.02,0,0,1
1894-DISS-OP,Oberländer,Paul,1894,Ueber den Tolubalsam und seine Entstehung.,Balsame,A,1,0.12,1,1,1
1895-DISS-AE,Aweng,Eugen,1895,Über den Succinit,Harze,A,1,0.10,0,0,3
1895-DISS-BA,Balzer,Alexander,1895,Ueber das Sandaracharz,Harze,A,1,0,0,0,1
1896-DISS-DK,Dieterich,Karl,1896,Über das Palmendrachenblut.,Harze,A,1,0.10,0,0,1
1896-DISS-SA,Stephan,Alfred,1896,Über den Zanzibar-Copal,Harze,A,1,0.14,0,1,2
1897-DISS-GG,Glimmann,Gustav,1897,Über das Dammaraharz.,Harze,A,1,0.18,1,0,1
1897-DISS-GH,Germann,Hans,1897,Pharmacognostische Studien über die Früchte von Myroxylon Pereirae,Balsame,A,1,0.19,0,0,3
1897-DISS-NP,Nottberg,Peter,1897,Experimental-Untersuchungen über die Entstehung der Harzgallen und verwandter Gebilde bei unseren Abietineen.,Systematische Gruppen,A,1,0.02,0,0,0
1897-DISS-PP,Pfaefflin,Paul,1897,"Untersuchungen über Entwicklungsgeschichte, Bau und Function der Nabelspalte und der darunter liegenden Tracheïden-Insel verschiedener practisch wichtiger Papilionaceen-Samen.",Systematische Gruppen,A,1,0.03,1,1,2
1897-DISS-SA,Schad,Adolf,1897,Entwicklungsgeschichtliche Untersuchungen über den Malabar Cardamomen und vergleichend anatomische Studien über die Samen einiger anderer Amomum- und Elettariaarten.,Gewürze und Genussmittel,A,1,0.05,1,2,7
1899-DISS-FA,Farner,Alfred,1899,Studien über den Stocklack,Harze,A,1,0.17,2,2,3
