id1,nachname,vorname,herkunftsort,herkunftsland,titel,fach,methoden_typ,spache,untersuchungsgegenstand,stoffklasse,jahr,uni,signatur,gefunden,fundort,sonderdruck,digitalisat,bork,hoermann,ledermann,historische_einleitung_ledermann,historische_einleitung_vorhanden,fokus_historischer_teil,thema_historischer_teil,zustand,provenienz_spuren,tschirch_betreuung,andere_betreuer,sprachregister,seiten_gesamt,seiten_historisch,anteil_historisch,vorkommende_epochen,wichtige_historische_personen_im_text,zaesuren_zeitkontext,quellen_primaer,quellen_sekundaer,zitiert_tschirch,tschirch_werke,abschnitte_handbuch,quellentypen,historie_stellenwert,historie_stellenwert_skala,narrative_form,wozu_dient_geschichte,Created time,Last modified time
1889-DISS-LF,Lüdtke,Franz,Conitz,Deutsches Reich,Beiträge zur Kenntniss der Aleuronkörner,Pharmakognosie,deskriptiv-analytisch,de,Aleuronkörner,Botanische Pflanzenteile,1889,Universität Erlangen,PH D 237 P,true,IMG,,,true,true,false,,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,"Entdeckung, Benennung und frühe Untersuchungen der Aleuronkörner","gut,vergilbt","Handschrift Doktorand,ex libris A. Tschirch",true,,wertend-kritisch,67,7,0.1044776119402985,Mitte 19. Jahrhundert,Theodor Hartig,Hochimperialismus,,,true,Angewandte Pflanzenanatomie,,"Fachzeitschriften,Sitzungsberichte,Jahrbücher,Lehrbücher","nimmt nur eine einleitende Rolle ein, um den aktuellen Forschungsstand klar zu machen",1,chronologisch,kontextualisierend,2026-02-23 11:57:38+00:00,2026-04-08 07:42:20+00:00
1890-DISS-HJ,Holfert,Johannes,Dippoldiswalde (in Sachsen),Deutsches Reich,Die Nährschicht der Samenschalen,Pharmakognosie,,de,,,1890,Universität Erlangen,PH D 210 P,true,IMG,,,true,true,false,,,,,"gut,leicht vergilbt",ex libris A. Tschirch,true,,,35,0,0,,,,,,,,,,,0,,,2026-02-23 11:57:38+00:00,2026-03-30 12:32:28+00:00
1890-DISS-HW,Hirsch,Wilhelm,Berlin,Deutsches Reich,Untersuchungen über die Frage Welche Einrichtungen bestehen behufs Ueberführung der in dem Speichergewebe der Samen niedergelegten Reservestoffe in den Embryo bei der Keimung,Pharmakognosie,,de,,,1890,Universität Erlangen,PH D 207 P,true,IMG,,,true,false,false,,,,,"gut,leicht vergilbt",ex libris A. Tschirch,true,,,57,0,0,,,,,,,,,,,0,,,2026-02-23 11:57:38+00:00,2026-03-30 12:32:31+00:00
1890-DISS-NH,Nadelmann,Hugo,Stettin,Deutsches Reich,Ueber die Schleimendosperme der Leguminosen.,Pharmakognosie,deskriptiv-analytisch,de,Leguminosen,Systematische Gruppen,1890,Universität Erlangen,PH D 244 P,true,IMG,,,true,false,false,,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Vorkommen des Schleims und Funktionen. ,"gut,leicht vergilbt",Handschrift Doktorand,true,,wertend-kritisch,83,12,0.14457831325301204,Mitte 19. Jahrhundert,"Matthias Jacob Schleiden,Julius Rudolph Theodor Vogel",Hochimperialismus,,,true,"Angewandte Pflanzenanatomie,Publikation",,"Jahrbücher,Wissenschaftliche Berichte,Lehrbücher","nimmt einleitende Rolle ein, um den Forschungsstand deutlich zu machen",1,thematisch-systematisch,kontextualisierend,2026-02-23 11:57:38+00:00,2026-04-08 07:47:40+00:00
1891-DISS-BH,Bliesenick,Hermann,Berlin,Deutsches Reich,Über die Obliteration der Siebröhren ...,Pharmakognosie,deskriptiv-analytisch,de,sonstiges,Sonstige,1891,Universität Erlangen,,true,Google Books,false,true,true,true,false,false,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Geschichte der Untersuchung der Siebröhren,gut,,true,,deskriptiv-neutral,63,4,0.06349206349206349,Mitte 19. Jahrhundert,Theodor Hartig,Hochimperialismus,,,true,"Angewandte Pflanzenanatomie,Publikation",,"Jahresberichte,Fachzeitschriften,Sitzungsberichte,Lehrbücher,Jahrbücher,Wissenschaftliche Berichte","einleitende Funktion, zeigt die bisherige Forschung auf",1,thematisch-systematisch,kontextualisierend,2026-02-23 14:22:48+00:00,2026-04-08 07:47:49+00:00
1891-DISS-CA,Conrady,Adolf,unbekannt,unbekannt,Ueber das Galbanumharz,Pharmakognosie,deskriptiv-analytisch,de,Galbanumharz,Gummiharze,1891,Universität Bern,,true,Google Books,true,true,true,true,true,,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Herkunft und Untersuchungen des Galbanumharzes,,,true,,deskriptiv-neutral,32,3,0.09375,"Altertum,Frühe Neuzeit","Pedanios Dioskurides,Caspar Neumann",Hochimperialismus,De oleis vegetabilium essentialibus (Walter),,true,"Angewandte Pflanzenanatomie,Publikation",,"Historische Sekundärquellen,Jahresberichte,Fachzeitschriften","nur kurz einleitend, Dioskurides wird auch nur erwähnt, die bisherigen Untersuchungen werden mit Jahreszahlen eingeordnet",1,thematisch-systematisch,"kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-09 14:22:01+00:00
1891-DISS-LP,Liechti,Paul,Bern,Schweizerische Eidgenossenschaft,Studien über die Fruchtschalen der Garcinia Mangostana.,Pharmakognosie,deskriptiv-analytisch,de,Garcinia Mangostana,Alkaloide und Glykoside,1891,Universität Bern,PH D 357 P,true,IMG,,,true,false,true,,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Erforschung und Verwendung Gummigutti,gut,,true,,wertend-positiv,16,1,0.0625,Mitte 19. Jahrhundert,"Justus von Liebig,Henri Braconnot,Jöns Jakob Berzelius",Hochimperialismus,Lehrbuch der Chemie (Berzelius),,,,,"Jahrbücher,Lehrbücher","der historische Teil scheint sich auf die Einleitung zu beschränken, allerdings zeigt er mit Formulierungen, dass die Forschung nicht neu ist. Zeigt wer sich schon alles damit beschäftigt hat",2,thematisch-systematisch,"legitimierend,kontextualisierend",2026-02-23 11:57:38+00:00,2026-04-09 13:04:14+00:00
1892-DISS-HC,Hartwich,Carl,Tangermünde,Deutsches Reich,Beiträge zur Kenntnis der Strophanthus- und einiger mit denselben verwandter Samen,Pharmakognosie,deskriptiv-analytisch,de,Strophantus,Alkaloide und Glykoside,1892,Universität Bern,,true,BHL,true,true,true,true,true,false,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,"Einfuhr nach Europa, Untersuchung und Beschreibung der Gattung Strophantus.",gut,,true,,wertend-positiv,33,2,0.06060606060606061,Mitte 19. Jahrhundert,Augustin Pyrame de Candolle,Hochimperialismus,Annales du museum national d'histoire naturelle (De Candolle),,true,Angewandte Pflanzenanatomie,,"Fachzeitschriften,Reiseberichte,Jahresberichte","nimmt viel Raum ein, die Entdeckungen und Beschreibungen werden beschrieben, auch die zeitlichen Formulierungen verleihen der Geschichte einen zentralen Stellenwert, Pflanze ist an sich historisch spannend",2,chronologisch,kontextualisierend,2026-02-23 14:28:11+00:00,2026-04-09 13:07:37+00:00
1893-DISS-BA,Bécheraz,Achille,Cuarny (Waadt),Schweizerische Eidgenossenschaft,Ueber die Sekretbildung in den schizogenen Gängen.,Pharmakognosie,deskriptiv-analytisch,de,sonstiges,Sonstige,1893,Universität Bern,PH D 165 P,true,IMG,,,true,true,true,true,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,"Untersuchungen über die Entstehung, Entwicklung und Stellung der Sekreträume (einleitend zur Lücke der Genese, mit welcher er anknüpfen möchte)",gut,,true,,wertend-kritisch,38,6,0.15789473684210525,Mitte 19. Jahrhundert,"Franz Julius Ferdinand Meyen,Anton de Bary",Hochimperialismus,,,true,Angewandte Pflanzenanatomie,,"Fachbeiträge,Jahrbücher,Fachzeitschriften","findet schon eine zeitliche Einordnung statt, Auflistung von Literatur, Fokus liegt eindeutig auf der Untersuchung",1,chronologisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-08 07:58:51+00:00
1893-DISS-LF,Lüdy,Fritz,Burgdorf,Schweizerische Eidgenossenschaft,Studien über die Sumatra-Benzoë,Pharmakognosie,deskriptiv-analytisch,de,Sumatra-Benzoe,Harze,1893,Universität Bern,PH D 238 P,true,IMG,,,true,true,true,true,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Entdeckung und Untersuchung der Sumatra-Benzoe,"gut,leicht vergilbt",,true,,wertend-positiv,57,6,0.10526315789473684,Gesamtes 19. Jahrhundert,Jöns Jakob Berzelius,Hochimperialismus,Lehrbuch der Chemie (Berzelius),,true,"Publikation,Angewandte Pflanzenanatomie",,"Fachzeitschriften,Jahrbücher,Lehrbücher,Wissenschaftliche Berichte,Kommentar Pharmaokopöe,Handwörterbuch","droge ist historisch bedeutend, wird viel auf die Herkunft eingegangen. Mit dem ersten Satz wird man direkt in die Geschichte eingeführt. Wird mit vielen Jahrzahlen gearbeitet trotzdem eher auf eine Herleitung beschränkt",2,"thematisch-systematisch,chronologisch","kontextualisierend,legitimierend,abgrenzend",2026-02-23 11:57:39+00:00,2026-04-09 13:08:25+00:00
1893-DISS-OO,Oesterle,Otto,Bern,Schweizerische Eidgenossenschaft,"Pharmakognostische Studien über Gutta-Percha",Pharmakognosie,deskriptiv-analytisch,de,Guttapercha,Gummi,1893,Universität Bern,PH D 357 P,true,IMG,,,true,true,true,true,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Entdeckung und Untersuchung von Gutta-Percha (auch in anderen Disziplinen),gut,,true,,deskriptiv-neutral,50,5,0.1,Mitte 19. Jahrhundert,"Michael Faraday,A.W. Hofmann",Hochimperialismus,,Indische Heil- und Nutzpflanzen und deren Cultur (Tschirch),true,Indische Heil- und Nutzpflanzen und deren Cultur,,"Lehrbücher,Jahresberichte,Fachzeitschriften","dient schon einleitend, trotzdem wird die Zeit der Entdeckungen, Untersuchungen hervorgehoben, leitet die aktuelle Forschung her und ist nicht nur eine Anreihung von Literatur, sondern die Geschichte ist im Text gut eingebettet",2,thematisch-systematisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-09 13:09:19+00:00
1893-DISS-TH,Trog,Hans,unbekannt,Schweizerische Eidgenossenschaft,Pharmakognostische Studien über den Perubalsam und seine Entstehung,Pharmakognosie,deskriptiv-analytisch,de,Perubalsam,Balsame,1893,Universität Bern,BeM ZB Diss var 1401,true,Speichermagazin,false,,true,true,true,,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Vergangene Untersuchungen zum Perubalsam,"gut,leicht vergilbt",,true,,wertend-kritisch,31,2,0.06451612903225806,Mitte 19. Jahrhundert,"Jonathan Pereira,Henri Ernest Baillon,Carl von Linné,Edmond Frémy,Émile Plantamour",Hochimperialismus,,,,,,"Fachzeitschriften,Jahresberichte",dient der Herleitung des Forschungsstandes,1,chronologisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-08 13:43:40+00:00
1893-DISS-WH,Walliczek,Heinrich,Lundenburg,Österreich-Ungarn,Studien über den Membranschleim vegetativer Organe,Pharmakognosie,,de,,,1893,Universität Bern,,true,Google Books,true,true,true,true,true,,,,,,,true,,,67,0,0,,,,,,,,,,,0,,,2026-02-23 11:57:39+00:00,2026-03-30 12:58:08+00:00
1894-DISS-BA,Baur,Alfred,Bern,Schweizerische Eidgenossenschaft,Über das Burseraceen - Opoponax,Pharmakognosie,deskriptiv-analytisch,de,Opopanax,Gummiharze,1894,Universität Bern,PH D 163 P,true,IMG,,,true,true,true,true,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Herkunft und Untersuchung des Opoponax-Gummiharzes (Geht bis zurück ins Altertum),"gut,leicht vergilbt",ex libris A. Tschirch,true,,deskriptiv-neutral,48,4,0.08333333333333333,"Altertum,Mitte 19. Jahrhundert","Pedanios Dioskurides,Theophrastos von Eresos",Hochimperialismus,,,,,,"Fachzeitschriften,Dissertationen,Jahrbücher","Geschichte zum Altertum rechtfertigt das Alter und die Verwendung des Gummiharzes, wird im Altertum als Heilmittel eingestuft, das andere ist nur eine aneinanderreihung der Untersuchungen, geschichte wird kaum betont, auf die Bezeichnung als ""Heilmittel"" wird in der Einleitung nochmals eingegangen",2,thematisch-systematisch,"kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-07 13:29:12+00:00
1894-DISS-EM,Elfstrand,Mårten,unbekannt,unbekannt,Studier öfver Alkaloidernas Lokalisation Företrädesvis inom Familjen Loganiaceae,Pharmakognosie,deskriptiv-analytisch,sv,Loganiaceaen,Systematische Gruppen,1894,Universität Upsala,PH D 357 P,true,IMG,,,true,true,true,,true,"Naturwissenschafts-/Disziplingeschichte,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte",Einführung in die botanische Mikrochemie als junge wissenschafliche Methode,"gut,leicht vergilbt",Handschrfit Tschirch,true,,deskriptiv-neutral,126,2,0.015873015873015872,Gesamtes 19. Jahrhundert,Simon Schwendener,Hochimperialismus,,,,,,"Wissenschaftliche Berichte,Fachzeitschriften,Dissertationen,Sitzungsberichte,Jahresberichte","Bedeutung der Mikrochemie wird aufgezeigt, moderne Disziplin damals, deswegen geht Geschichte auch nicht weit zurück",1,chronologisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-07 13:30:12+00:00
1894-DISS-KM,Küstenmacher,Max,Bromberg,Deutsches Reich,Beiträge zur Kenntniss der Gallenbildungen mit Berücksichtigung des Gerbstoffes.,Pharmakognosie,deskriptiv-analytisch,de,sonstiges,Sonstige,1894,Universität Erlangen,PH D 230 P,true,IMG,,,true,true,true,,true,"Allgemeine Pharmaziegeschichte,Naturwissenschafts-/Disziplingeschichte","Bedeutung und Ursprung des Begriffs ""Galle"" zur Herleitung des Begriffs in Bezug aufs Pflanzenreich","gut,leicht vergilbt","ex libris A. Tschirch,Handschrift Doktorand",true,,wertend-positiv,101,1,0.009900990099009901,Altertum,Gaius Plinius Secundus Maior,Hochimperialismus,Naturalis historia (Plinius),,,,,Historische Wissensliteratur,Plinius wird nur ganz kurz erwähnt,1,personenzentriert,"kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-09 14:19:52+00:00
1894-DISS-OP,Oberländer,Paul,Weimar,Deutsches Reich,Ueber den Tolubalsam und seine Entstehung.,Pharmakognosie,deskriptiv-analytisch,de,Tolubalsam,Balsame,1894,Universität Bern,PH D 250 P,true,IMG,,,true,true,true,true,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,"Entdeckung, Beschreibung und frühere Untersuchungen des Tolubalsam","gut,leicht vergilbt",,true,,wertend-kritisch,42,5,0.11904761904761904,Mittelalter,Nicolás Monardes,Hochimperialismus,Historia medicinal (Monardes),,,,,"Jahresberichte,Lehrbücher,Fachzeitschriften,Historische Wissensliteratur","einleitender Satz, sonst wird kaum auf Geschichte eingegangen, Aneinanderreihung früherer Untersuchungen",1,thematisch-systematisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-09 14:23:25+00:00
1895-DISS-AE,Aweng,Eugen,unbekannt,unbekannt,"Über den Succinit",Pharmakognosie,deskriptiv-analytisch,de,Succinit,Harze,1895,Universität Bern,BeM ZB Diss var 1602,true,Speichermagazin,false,false,true,false,true,false,true,Pharmazeutische Chemie-/Technologiegeschichte,vergangene Untersuchungen des Succinits,"gut,leicht vergilbt",,true,,deskriptiv-neutral,31,3,0.0967741935483871,Mitte 19. Jahrhundert,"Matthias Jacob Schleiden,Pierre-Joseph Pelletier,Jöns Jakob Berzelius",Hochimperialismus,,,true,Angewandte Pflanzenanatomie,,"Monographien,Handbuch,Jahresberichte,Fachzeitschriften","führt bisherige Untersuchungen auf, einleitende Funktion",1,thematisch-systematisch,kontextualisierend,2026-02-23 14:23:54+00:00,2026-04-08 08:10:01+00:00
1895-DISS-BA,Balzer,Alexander,unbekannt,unbekannt,"Ueber das Sandaracharz",Pharmakognosie,deskriptiv-analytisch,de,Sandarak,Harze,1895,Universität Bern,BeM ZB Diss var 1603,true,Speichermagazin,false,false,true,false,true,false,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,bisherige Untersuchungen zum Sandaracharz,"gut,leicht vergilbt",,true,,deskriptiv-neutral,32,1,0.03125,Mitte 19. Jahrhundert,Otto Unverdorben,Hochimperialismus,,,false,,,,einleitend werden bisherige Untersuchungen aufgeführt,1,chronologisch,kontextualisierend,2026-02-23 14:24:19+00:00,2026-04-07 16:56:28+00:00
