person,nennungen,epoche,tradition,fachgebiet,erst_nennung,letzt_nennung,zeitspanne
Pedanios Dioskurides,25,Antike,Griechisch-römische Antike,"Pharmakognosie, Botanik, Medizin",1891,1932,41
Gaius Plinius Secundus Maior,21,Antike,Griechisch-römische Antike,"Naturkunde, Enzyklopädie",1894,1932,38
Jöns Jakob Berzellius,15,19. Jahrhundert,Chemie & Pharmazie 19. Jh.,Chemie,1891,1927,36
Carl von Linné,13,Frühe Neuzeit,Frühneuzeitliche Botanik,"Botanik, Zoologie, Taxonomie",1893,1930,37
Henri Braconnot,13,19. Jahrhundert,Chemie & Pharmazie 19. Jh.,"Chemie, Biochemie",1891,1929,38
Theophrastos von Eresos,13,Antike,Griechisch-römische Antike,"Botanik, Naturphilosophie",1894,1927,33
Caspar Neumann,11,Frühe Neuzeit,Frühneuzeitliche Pharmakochemie,"Chemie, Pharmakologie",1891,1929,38
Johann Bartholomäus Trommsdorff,10,19. Jahrhundert,Chemie & Pharmazie 19. Jh.,"Pharmakologie, Chemie, Pharmazie",1897,1929,32
Michael Bernhard Valentini,10,Frühe Neuzeit,Frühneuzeitliche Pharmakochemie,"Pharmakognosie, Naturkunde",1895,1906,11
Theodor Hartig,8,19. Jahrhundert,Botanik & Pharmakognosie 19. Jh.,"Botanik, Forstwissenschaft",1889,1924,35
Aulus Cornelius Celsus,7,Antike,Griechisch-römische Antike,"Medizin, Enzyklopädie",1898,1932,34
Galenos von Pergamon,7,Antike,Griechisch-römische Antike,"Medizin, Pharmakologie, Anatomie",1900,1932,32
Valerius Cordus,7,Frühe Neuzeit,Frühneuzeitliche Botanik,"Pharmakologie, Botanik",1895,1932,37
Christoph Heinrich Pfaff,6,19. Jahrhundert,Chemie & Pharmazie 19. Jh.,"Chemie, Medizin",1900,1907,7
Edme-Jean Baptiste Bouillon-Lagrange,6,19. Jahrhundert,Chemie & Pharmazie 19. Jh.,"Chemie, Pharmazie",1898,1927,29
Justus von Liebig,6,19. Jahrhundert,Chemie & Pharmazie 19. Jh.,"Chemie, Agrikulturchemie",1891,1929,38
Matthias Jacob Schleiden,6,19. Jahrhundert,Botanik & Pharmakognosie 19. Jh.,"Botanik, Zelltheorie",1890,1921,31
Scribonius Largus,6,Antike,Griechisch-römische Antike,"Pharmakologie, Medizin",1898,1913,15
Theodor Wilhelm Christian Martius,6,19. Jahrhundert,Chemie & Pharmazie 19. Jh.,"Pharmazie, Botanik",1896,1911,15
Alexander von Tralleis,5,Frühmittelalter,Byzantinische Medizin,Medizin,1903,1912,9
Avicenna (Ibn Sina),5,Mittelalter,Arabisch-islamische Medizin,"Medizin, Pharmakologie, Philosophie",1897,1913,16
Edmond Frémy,5,19. Jahrhundert,Chemie & Pharmazie 19. Jh.,Chemie,1893,1927,34
Henri Ernest Baillon,5,19. Jahrhundert,Botanik & Pharmakognosie 19. Jh.,Botanik,1893,1930,37
Johann Friedrich Cartheuser,5,Frühe Neuzeit,Frühneuzeitliche Pharmakochemie,"Pharmakologie, Chemie",1900,1906,6
Jonathan Pereira,5,19. Jahrhundert,Botanik & Pharmakognosie 19. Jh.,"Pharmakognosie, Materia medica",1893,1927,34
Marco Polo,5,Mittelalter,Geographie & Handelswege,"Reisender, Geographie",1898,1913,15
Otto Unverdorben,5,19. Jahrhundert,Chemie & Pharmazie 19. Jh.,Chemie,1895,1929,34
Pierre-Joseph Pelletier,5,19. Jahrhundert,Chemie & Pharmazie 19. Jh.,"Chemie, Pharmakologie (Alkaloide)",1895,1929,34
Pietro Andrea Mattioli,5,Frühe Neuzeit,Frühneuzeitliche Botanik,"Botanik, Pharmakognosie",1898,1908,10
Yuhanna ibn Masawaih,5,Frühmittelalter,Arabisch-islamische Medizin,"Medizin, Pharmakologie",1900,1932,32
Abu Muhammad ibn al-Baitar,4,Mittelalter,Arabisch-islamische Medizin,"Pharmakognosie, Botanik",1895,1907,12
Ammianus Marcellinus,4,Antike,Griechisch-römische Antike,Geschichtsschreibung,1902,1913,11
Anton de Bary,4,19. Jahrhundert,Botanik & Pharmakognosie 19. Jh.,"Botanik, Mykologie",1893,1903,10
Christian Gottfried Daniel Nees von Esenbeck,4,19. Jahrhundert,Botanik & Pharmakognosie 19. Jh.,"Botanik, Pharmakognosie",1897,1923,26
Daniel Hanbury,4,19. Jahrhundert,Botanik & Pharmakognosie 19. Jh.,Pharmakognosie,1895,1927,32
Hippokrates von Kos,4,Antike,Griechisch-römische Antike,Medizin,1895,1912,17
Johann Schröder,4,Frühe Neuzeit,Frühneuzeitliche Pharmakochemie,"Pharmakologie, Chemie",1895,1898,3
Julius Rudolph Theodor Vogel,4,19. Jahrhundert,Chemie & Pharmazie 19. Jh.,"Chemie, Botanik",1890,1913,23
